from,to,relationship
JL,SU,1
JL,TTP,1
JL,EA,1
JL,CA,1
JL,USC,1
JL,HL,2
TM,RCC,1
TM,VLC,1
TM,VZ,1
TM,LCVB,1
TM,SAP,1
TM,VCM,1
TM,BUL,2
ET,TTP,1
ET,AA,1
ET,ET,1
ET,LBA,1
ET,HL,2
KH,VULM,1
KH,OST,1
KH,BST,1
KH,DE,2
VV,AK,1
VV,RCC,1
VV,IBF,1
VV,CL,1
VV,RRV,1
VV,CT,1
VV,BEL,2
NK,GBL,1
NK,BPCBB,1
NK,KPBU,1
NK,SPS,1
NK,PO,2
LE,KAF,1
LE,BEY,1
LE,IVC,1
LE,PSU,1
LE,USA,2
PS,BVMB,1
PS,DSC,1
PS,BSBC,1
PS,STM,1
PS,DIT,1
PS,GHO,1
PS,CVB,1
PS,SP,2
JH,VFBSLT,1
JH,VCS,1
JH,HL,2
DH,AMTVST,1
DH,BST,1
DH,DE,2
RS,UA,1
RS,BA,1
RS,LBM,1
RS,USA,2
BL,FVTM,1
BL,BSPMTV,1
BL,VCOB,1
BL,DE,2
KO,NOB,1
KO,LPV,1
KO,LPK,1
KO,HL,1
KO,K,1
KO,SPS,1
KO,FN,2
GL,EJMTV,1
GL,BST,1
GL,DE,2
